source_system,source_flow,role,role_title,page,page_slug,section_count,faq_count,sections,page_url,widget_url,embed_url,api_url
Red Flag Alert,Flow1 / Doctor,doctor,Doctor Support,Doctor/Clinic Reminder Page,red-flag-alert-flow1-doctor-doctorclinic-reminder-page,1,4,Red Flag Alert / Follow-ups & Reminders,https://help.cpdinclinic.co.in/support/doctor/faq/page/red-flag-alert-flow1-doctor-doctorclinic-reminder-page/?system=Red+Flag+Alert&flow=Flow1+%2F+Doctor,https://help.cpdinclinic.co.in/support/doctor/faq/page/red-flag-alert-flow1-doctor-doctorclinic-reminder-page/widget/?system=Red+Flag+Alert&flow=Flow1+%2F+Doctor,https://help.cpdinclinic.co.in/support/doctor/faq/page/red-flag-alert-flow1-doctor-doctorclinic-reminder-page/widget/?system=Red+Flag+Alert&flow=Flow1+%2F+Doctor&embed=1,https://help.cpdinclinic.co.in/support/api/doctor/pages/red-flag-alert-flow1-doctor-doctorclinic-reminder-page/?system=Red+Flag+Alert&flow=Flow1+%2F+Doctor
Customer support,General support,clinic_staff,Clinic Staff Support,Sharing & Activation Page,customer-support-sharing-activation-page,1,1,Campaign Operations,https://help.cpdinclinic.co.in/support/clinic_staff/faq/page/customer-support-sharing-activation-page/?system=Customer+support,https://help.cpdinclinic.co.in/support/clinic_staff/faq/page/customer-support-sharing-activation-page/widget/?system=Customer+support,https://help.cpdinclinic.co.in/support/clinic_staff/faq/page/customer-support-sharing-activation-page/widget/?system=Customer+support&embed=1,https://help.cpdinclinic.co.in/support/api/clinic_staff/pages/customer-support-sharing-activation-page/?system=Customer+support
Campaign performance,General support,clinic_staff,Clinic Staff Support,Reports & Insights Page,campaign-performance-reports-insights-page,1,1,Reporting & Analytics,https://help.cpdinclinic.co.in/support/clinic_staff/faq/page/campaign-performance-reports-insights-page/?system=Campaign+performance,https://help.cpdinclinic.co.in/support/clinic_staff/faq/page/campaign-performance-reports-insights-page/widget/?system=Campaign+performance,https://help.cpdinclinic.co.in/support/clinic_staff/faq/page/campaign-performance-reports-insights-page/widget/?system=Campaign+performance&embed=1,https://help.cpdinclinic.co.in/support/api/clinic_staff/pages/campaign-performance-reports-insights-page/?system=Campaign+performance
Customer support,General support,brand_manager,Brand Manager Support,Authentication Page,customer-support-authentication-page,1,1,Access & Login,https://help.cpdinclinic.co.in/support/brand_manager/faq/page/customer-support-authentication-page/?system=Customer+support,https://help.cpdinclinic.co.in/support/brand_manager/faq/page/customer-support-authentication-page/widget/?system=Customer+support,https://help.cpdinclinic.co.in/support/brand_manager/faq/page/customer-support-authentication-page/widget/?system=Customer+support&embed=1,https://help.cpdinclinic.co.in/support/api/brand_manager/pages/customer-support-authentication-page/?system=Customer+support
Customer support,General support,brand_manager,Brand Manager Support,Sharing & Activation Page,customer-support-sharing-activation-page,1,1,Campaign Operations,https://help.cpdinclinic.co.in/support/brand_manager/faq/page/customer-support-sharing-activation-page/?system=Customer+support,https://help.cpdinclinic.co.in/support/brand_manager/faq/page/customer-support-sharing-activation-page/widget/?system=Customer+support,https://help.cpdinclinic.co.in/support/brand_manager/faq/page/customer-support-sharing-activation-page/widget/?system=Customer+support&embed=1,https://help.cpdinclinic.co.in/support/api/brand_manager/pages/customer-support-sharing-activation-page/?system=Customer+support
Campaign performance,General support,brand_manager,Brand Manager Support,Reports & Insights Page,campaign-performance-reports-insights-page,1,1,Reporting & Analytics,https://help.cpdinclinic.co.in/support/brand_manager/faq/page/campaign-performance-reports-insights-page/?system=Campaign+performance,https://help.cpdinclinic.co.in/support/brand_manager/faq/page/campaign-performance-reports-insights-page/widget/?system=Campaign+performance,https://help.cpdinclinic.co.in/support/brand_manager/faq/page/campaign-performance-reports-insights-page/widget/?system=Campaign+performance&embed=1,https://help.cpdinclinic.co.in/support/api/brand_manager/pages/campaign-performance-reports-insights-page/?system=Campaign+performance
Red Flag Alert,Flow5 / BrandManager,brand_manager,Brand Manager Support,Brand Manager Dashboard,red-flag-alert-flow5-brandmanager-brand-manager-dashboard,1,3,Red Flag Alert / Dashboard & Navigation,https://help.cpdinclinic.co.in/support/brand_manager/faq/page/red-flag-alert-flow5-brandmanager-brand-manager-dashboard/?system=Red+Flag+Alert&flow=Flow5+%2F+BrandManager,https://help.cpdinclinic.co.in/support/brand_manager/faq/page/red-flag-alert-flow5-brandmanager-brand-manager-dashboard/widget/?system=Red+Flag+Alert&flow=Flow5+%2F+BrandManager,https://help.cpdinclinic.co.in/support/brand_manager/faq/page/red-flag-alert-flow5-brandmanager-brand-manager-dashboard/widget/?system=Red+Flag+Alert&flow=Flow5+%2F+BrandManager&embed=1,https://help.cpdinclinic.co.in/support/api/brand_manager/pages/red-flag-alert-flow5-brandmanager-brand-manager-dashboard/?system=Red+Flag+Alert&flow=Flow5+%2F+BrandManager
Red Flag Alert,Flow5 / BrandManager,brand_manager,Brand Manager Support,Band Manager Clinic Assets Management Page,red-flag-alert-flow5-brandmanager-band-manager-clinic-assets-management-page,1,6,Red Flag Alert / Asset Management,https://help.cpdinclinic.co.in/support/brand_manager/faq/page/red-flag-alert-flow5-brandmanager-band-manager-clinic-assets-management-page/?system=Red+Flag+Alert&flow=Flow5+%2F+BrandManager,https://help.cpdinclinic.co.in/support/brand_manager/faq/page/red-flag-alert-flow5-brandmanager-band-manager-clinic-assets-management-page/widget/?system=Red+Flag+Alert&flow=Flow5+%2F+BrandManager,https://help.cpdinclinic.co.in/support/brand_manager/faq/page/red-flag-alert-flow5-brandmanager-band-manager-clinic-assets-management-page/widget/?system=Red+Flag+Alert&flow=Flow5+%2F+BrandManager&embed=1,https://help.cpdinclinic.co.in/support/api/brand_manager/pages/red-flag-alert-flow5-brandmanager-band-manager-clinic-assets-management-page/?system=Red+Flag+Alert&flow=Flow5+%2F+BrandManager
Red Flag Alert,Flow5 / BrandManager,brand_manager,Brand Manager Support,Band Manager Field Rep Management Page,red-flag-alert-flow5-brandmanager-band-manager-field-rep-management-page,1,5,Red Flag Alert / Field Rep Management,https://help.cpdinclinic.co.in/support/brand_manager/faq/page/red-flag-alert-flow5-brandmanager-band-manager-field-rep-management-page/?system=Red+Flag+Alert&flow=Flow5+%2F+BrandManager,https://help.cpdinclinic.co.in/support/brand_manager/faq/page/red-flag-alert-flow5-brandmanager-band-manager-field-rep-management-page/widget/?system=Red+Flag+Alert&flow=Flow5+%2F+BrandManager,https://help.cpdinclinic.co.in/support/brand_manager/faq/page/red-flag-alert-flow5-brandmanager-band-manager-field-rep-management-page/widget/?system=Red+Flag+Alert&flow=Flow5+%2F+BrandManager&embed=1,https://help.cpdinclinic.co.in/support/api/brand_manager/pages/red-flag-alert-flow5-brandmanager-band-manager-field-rep-management-page/?system=Red+Flag+Alert&flow=Flow5+%2F+BrandManager
Red Flag Alert,Flow5 / BrandManager,brand_manager,Brand Manager Support,Band Manager Field Rep Details Editing Page,red-flag-alert-flow5-brandmanager-band-manager-field-rep-details-editing-page,1,5,Red Flag Alert / Field Rep Management,https://help.cpdinclinic.co.in/support/brand_manager/faq/page/red-flag-alert-flow5-brandmanager-band-manager-field-rep-details-editing-page/?system=Red+Flag+Alert&flow=Flow5+%2F+BrandManager,https://help.cpdinclinic.co.in/support/brand_manager/faq/page/red-flag-alert-flow5-brandmanager-band-manager-field-rep-details-editing-page/widget/?system=Red+Flag+Alert&flow=Flow5+%2F+BrandManager,https://help.cpdinclinic.co.in/support/brand_manager/faq/page/red-flag-alert-flow5-brandmanager-band-manager-field-rep-details-editing-page/widget/?system=Red+Flag+Alert&flow=Flow5+%2F+BrandManager&embed=1,https://help.cpdinclinic.co.in/support/api/brand_manager/pages/red-flag-alert-flow5-brandmanager-band-manager-field-rep-details-editing-page/?system=Red+Flag+Alert&flow=Flow5+%2F+BrandManager
Red Flag Alert,Flow4 / Publisher,publisher,Publisher Support,Publisher Login Page,red-flag-alert-flow4-publisher-publisher-login-page,1,2,Red Flag Alert / Access & Login,https://help.cpdinclinic.co.in/support/publisher/faq/page/red-flag-alert-flow4-publisher-publisher-login-page/?system=Red+Flag+Alert&flow=Flow4+%2F+Publisher,https://help.cpdinclinic.co.in/support/publisher/faq/page/red-flag-alert-flow4-publisher-publisher-login-page/widget/?system=Red+Flag+Alert&flow=Flow4+%2F+Publisher,https://help.cpdinclinic.co.in/support/publisher/faq/page/red-flag-alert-flow4-publisher-publisher-login-page/widget/?system=Red+Flag+Alert&flow=Flow4+%2F+Publisher&embed=1,https://help.cpdinclinic.co.in/support/api/publisher/pages/red-flag-alert-flow4-publisher-publisher-login-page/?system=Red+Flag+Alert&flow=Flow4+%2F+Publisher
Red Flag Alert,Flow4 / Publisher,publisher,Publisher Support,Publisher Existing Campaigns page,red-flag-alert-flow4-publisher-publisher-existing-campaigns-page,1,6,Red Flag Alert / Campaign Management,https://help.cpdinclinic.co.in/support/publisher/faq/page/red-flag-alert-flow4-publisher-publisher-existing-campaigns-page/?system=Red+Flag+Alert&flow=Flow4+%2F+Publisher,https://help.cpdinclinic.co.in/support/publisher/faq/page/red-flag-alert-flow4-publisher-publisher-existing-campaigns-page/widget/?system=Red+Flag+Alert&flow=Flow4+%2F+Publisher,https://help.cpdinclinic.co.in/support/publisher/faq/page/red-flag-alert-flow4-publisher-publisher-existing-campaigns-page/widget/?system=Red+Flag+Alert&flow=Flow4+%2F+Publisher&embed=1,https://help.cpdinclinic.co.in/support/api/publisher/pages/red-flag-alert-flow4-publisher-publisher-existing-campaigns-page/?system=Red+Flag+Alert&flow=Flow4+%2F+Publisher
Red Flag Alert,Flow4 / Publisher,publisher,Publisher Support,Publisher Campaign Lists for Field Rep page,red-flag-alert-flow4-publisher-publisher-campaign-lists-for-field-rep-page,1,2,Red Flag Alert / Field Rep Assignment,https://help.cpdinclinic.co.in/support/publisher/faq/page/red-flag-alert-flow4-publisher-publisher-campaign-lists-for-field-rep-page/?system=Red+Flag+Alert&flow=Flow4+%2F+Publisher,https://help.cpdinclinic.co.in/support/publisher/faq/page/red-flag-alert-flow4-publisher-publisher-campaign-lists-for-field-rep-page/widget/?system=Red+Flag+Alert&flow=Flow4+%2F+Publisher,https://help.cpdinclinic.co.in/support/publisher/faq/page/red-flag-alert-flow4-publisher-publisher-campaign-lists-for-field-rep-page/widget/?system=Red+Flag+Alert&flow=Flow4+%2F+Publisher&embed=1,https://help.cpdinclinic.co.in/support/api/publisher/pages/red-flag-alert-flow4-publisher-publisher-campaign-lists-for-field-rep-page/?system=Red+Flag+Alert&flow=Flow4+%2F+Publisher
Red Flag Alert,Flow4 / Publisher,publisher,Publisher Support,Publisher Campaign Field Rep page,red-flag-alert-flow4-publisher-publisher-campaign-field-rep-page,1,4,Red Flag Alert / Field Rep Assignment,https://help.cpdinclinic.co.in/support/publisher/faq/page/red-flag-alert-flow4-publisher-publisher-campaign-field-rep-page/?system=Red+Flag+Alert&flow=Flow4+%2F+Publisher,https://help.cpdinclinic.co.in/support/publisher/faq/page/red-flag-alert-flow4-publisher-publisher-campaign-field-rep-page/widget/?system=Red+Flag+Alert&flow=Flow4+%2F+Publisher,https://help.cpdinclinic.co.in/support/publisher/faq/page/red-flag-alert-flow4-publisher-publisher-campaign-field-rep-page/widget/?system=Red+Flag+Alert&flow=Flow4+%2F+Publisher&embed=1,https://help.cpdinclinic.co.in/support/api/publisher/pages/red-flag-alert-flow4-publisher-publisher-campaign-field-rep-page/?system=Red+Flag+Alert&flow=Flow4+%2F+Publisher
Red Flag Alert,Flow4 / Publisher,publisher,Publisher Support,Publisher Campaign Creation Page,red-flag-alert-flow4-publisher-publisher-campaign-creation-page,1,8,Red Flag Alert / Campaign Creation,https://help.cpdinclinic.co.in/support/publisher/faq/page/red-flag-alert-flow4-publisher-publisher-campaign-creation-page/?system=Red+Flag+Alert&flow=Flow4+%2F+Publisher,https://help.cpdinclinic.co.in/support/publisher/faq/page/red-flag-alert-flow4-publisher-publisher-campaign-creation-page/widget/?system=Red+Flag+Alert&flow=Flow4+%2F+Publisher,https://help.cpdinclinic.co.in/support/publisher/faq/page/red-flag-alert-flow4-publisher-publisher-campaign-creation-page/widget/?system=Red+Flag+Alert&flow=Flow4+%2F+Publisher&embed=1,https://help.cpdinclinic.co.in/support/api/publisher/pages/red-flag-alert-flow4-publisher-publisher-campaign-creation-page/?system=Red+Flag+Alert&flow=Flow4+%2F+Publisher
Customer support,General support,field_rep,Field Rep Support,Authentication Page,customer-support-authentication-page,1,1,Access & Login,https://help.cpdinclinic.co.in/support/field_rep/faq/page/customer-support-authentication-page/?system=Customer+support,https://help.cpdinclinic.co.in/support/field_rep/faq/page/customer-support-authentication-page/widget/?system=Customer+support,https://help.cpdinclinic.co.in/support/field_rep/faq/page/customer-support-authentication-page/widget/?system=Customer+support&embed=1,https://help.cpdinclinic.co.in/support/api/field_rep/pages/customer-support-authentication-page/?system=Customer+support
Customer support,General support,field_rep,Field Rep Support,Sharing & Activation Page,customer-support-sharing-activation-page,1,1,Campaign Operations,https://help.cpdinclinic.co.in/support/field_rep/faq/page/customer-support-sharing-activation-page/?system=Customer+support,https://help.cpdinclinic.co.in/support/field_rep/faq/page/customer-support-sharing-activation-page/widget/?system=Customer+support,https://help.cpdinclinic.co.in/support/field_rep/faq/page/customer-support-sharing-activation-page/widget/?system=Customer+support&embed=1,https://help.cpdinclinic.co.in/support/api/field_rep/pages/customer-support-sharing-activation-page/?system=Customer+support
Campaign performance,General support,field_rep,Field Rep Support,Reports & Insights Page,campaign-performance-reports-insights-page,1,1,Reporting & Analytics,https://help.cpdinclinic.co.in/support/field_rep/faq/page/campaign-performance-reports-insights-page/?system=Campaign+performance,https://help.cpdinclinic.co.in/support/field_rep/faq/page/campaign-performance-reports-insights-page/widget/?system=Campaign+performance,https://help.cpdinclinic.co.in/support/field_rep/faq/page/campaign-performance-reports-insights-page/widget/?system=Campaign+performance&embed=1,https://help.cpdinclinic.co.in/support/api/field_rep/pages/campaign-performance-reports-insights-page/?system=Campaign+performance
In-clinic,Flow2 / FieldRep,field_rep,Field Rep Support,Field Rep Login Page,in-clinic-flow2-fieldrep-field-rep-login-page,1,2,In-clinic / Recruitment & Access,https://help.cpdinclinic.co.in/support/field_rep/faq/page/in-clinic-flow2-fieldrep-field-rep-login-page/?system=In-clinic&flow=Flow2+%2F+FieldRep,https://help.cpdinclinic.co.in/support/field_rep/faq/page/in-clinic-flow2-fieldrep-field-rep-login-page/widget/?system=In-clinic&flow=Flow2+%2F+FieldRep,https://help.cpdinclinic.co.in/support/field_rep/faq/page/in-clinic-flow2-fieldrep-field-rep-login-page/widget/?system=In-clinic&flow=Flow2+%2F+FieldRep&embed=1,https://help.cpdinclinic.co.in/support/api/field_rep/pages/in-clinic-flow2-fieldrep-field-rep-login-page/?system=In-clinic&flow=Flow2+%2F+FieldRep
In-clinic,Flow2 / FieldRep,field_rep,Field Rep Support,Field Rep Sharing Page,in-clinic-flow2-fieldrep-field-rep-sharing-page,1,8,In-clinic / Collateral Sharing,https://help.cpdinclinic.co.in/support/field_rep/faq/page/in-clinic-flow2-fieldrep-field-rep-sharing-page/?system=In-clinic&flow=Flow2+%2F+FieldRep,https://help.cpdinclinic.co.in/support/field_rep/faq/page/in-clinic-flow2-fieldrep-field-rep-sharing-page/widget/?system=In-clinic&flow=Flow2+%2F+FieldRep,https://help.cpdinclinic.co.in/support/field_rep/faq/page/in-clinic-flow2-fieldrep-field-rep-sharing-page/widget/?system=In-clinic&flow=Flow2+%2F+FieldRep&embed=1,https://help.cpdinclinic.co.in/support/api/field_rep/pages/in-clinic-flow2-fieldrep-field-rep-sharing-page/?system=In-clinic&flow=Flow2+%2F+FieldRep
Red Flag Alert,Flow2 / FieldRep,field_rep,Field Rep Support,Field Rep Password Setup & Verification Page,red-flag-alert-flow2-fieldrep-field-rep-password-setup-verification-page,1,3,Red Flag Alert / Access & Login,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-password-setup-verification-page/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-password-setup-verification-page/widget/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-password-setup-verification-page/widget/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep&embed=1,https://help.cpdinclinic.co.in/support/api/field_rep/pages/red-flag-alert-flow2-fieldrep-field-rep-password-setup-verification-page/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep
Red Flag Alert,Flow2 / FieldRep,field_rep,Field Rep Support,Field Rep Login Page,red-flag-alert-flow2-fieldrep-field-rep-login-page,1,3,Red Flag Alert / Access & Login,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-login-page/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-login-page/widget/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-login-page/widget/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep&embed=1,https://help.cpdinclinic.co.in/support/api/field_rep/pages/red-flag-alert-flow2-fieldrep-field-rep-login-page/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep
Red Flag Alert,Flow2 / FieldRep,field_rep,Field Rep Support,Field Rep Dashboard,red-flag-alert-flow2-fieldrep-field-rep-dashboard,3,16,Red Flag Alert / Actions & Navigation | Red Flag Alert / Doctor Search & Onboarding | Red Flag Alert / WhatsApp Sharing,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-dashboard/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-dashboard/widget/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-dashboard/widget/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep&embed=1,https://help.cpdinclinic.co.in/support/api/field_rep/pages/red-flag-alert-flow2-fieldrep-field-rep-dashboard/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep
Red Flag Alert,Flow2 / FieldRep,field_rep,Field Rep Support,Field Rep Clinic Asset Management Page,red-flag-alert-flow2-fieldrep-field-rep-clinic-asset-management-page,1,6,Red Flag Alert / QR / Asset Sharing,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-clinic-asset-management-page/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-clinic-asset-management-page/widget/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-clinic-asset-management-page/widget/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep&embed=1,https://help.cpdinclinic.co.in/support/api/field_rep/pages/red-flag-alert-flow2-fieldrep-field-rep-clinic-asset-management-page/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep
